,Receiving Water,Latitude,Longitude
0,East Creek,,
1,Otter Creek,,
2,Nashobe,,
3,Pine St. Barge Canal,,
4,Intervale Wetlands,,
5,Winooski,,
6,Indian Brook,,
7,Castleton,,
8,Lamoille River,,
9,Dog River,,
10,North Branch,,
11,Dog Rive,,
12,Lake Champlain,,
13,Stevens Brook,,
14,Clarendon River,,
15,Neshobe,,
16,Pine Street Barge Canal,,
17,Winooski ,,
18,Mississquoi River,,
19,Indian River,,
20,Laplatte,,
21,Allen Brook,,
22,Edgewood Brook,,
23,Winooski River,,
24,Pine St Barge Canal,,
25,,,
26,Winooski river,,
27,Lamoille,,
28,Brewster River,,
29,Lamoille river,,
30,Missisquoi River,,
31,LaPlatte,,
32,Munroe Brook,,
33,McCabe's Brook,,
34,Otter Creek ,,
35,Clarenden River,,
36,Stevens Branch,,
37,Steven's Brook,,
38,Big Otter Creek,,
39,North Brook,,
40,Intervale wetlands,,
41,Castleton River,,
42,trib. To Poultney,,
43,Gunner's Brook,,
44,Laplatte River,,
45,Shelburne Bay,,
46,LaPlatte River,,
47,wetland,,
48,tributary to Neshobe,,
49,Godin Brook,,
50,Poultney River,,
51,Flower Brook,,
52,trib Otter Creek,,
53,Sodom Pond Brook,,
54,Otter CreekÂ ,,
55,Otter Creek and East Creek,,
56,Potash Brook & Otter Creek,,
57,Wetlands contiguous w/ Winooski River,,
58,Barge Canal,,
59,Englesby Brook,,
60,North Branch Stevens Brook,,
61,Macabe's Brook,,
